data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,43932151,,51
2021,43932147,,51
2021,45496449,,51
2021,42494468,,51
2021,44047470,,51
2021,41215662,,51
2021,44047463,,51
2021,43070138,,51
2021,44047469,,51
2021,44047468,,51
2021,44047462,,52
2021,44100884,,51
2021,42367486,,51
2021,41358920,,51
2021,42215237,,51
2021,41836144,,51
2021,41215325,,51
2021,44173699,,51
2021,41566998,,51
2021,42156052,,51
2021,44179412,,51
2021,44179433,,51
2021,44179459,,51
2021,42792384,,51
2021,44179551,,51
2021,44179574,,51
2021,42720840,,51
2021,44179590,,51
2021,41232853,,51
2021,42618202,,51
2021,44302677,,51
2021,42624825,,51
2021,44302678,,51
2021,44302679,,51
2021,42618203,,51
2021,42618204,,51
2021,41232854,,51
2021,44302683,,51
2021,44302684,,51
2021,41232855,,51
2021,44420483,,51
2021,42714827,,51
2021,44626742,,51
2021,44626743,,3
2021,42588173,,51
2021,44638851,,51
2021,44638978,,51
2021,42588174,,51
2021,41186350,,51
2021,44695415,,51
2021,44695564,,51
2021,41379582,,51
2021,44904189,,51
2021,44904194,,51
2021,42927107,,51
2021,41425437,,51
2021,41363108,,51
2021,41364790,,51
2021,41364797,,3
2021,41425436,,51
2021,41836145,,51
2021,41836146,,51
2021,43569101,,51
2021,45509804,,51
2021,41579567,,51
2021,41384145,,51
2021,41384153,,51
2021,41379100,,51
2021,44404858,,51
2021,42789935,,51
2021,42789936,,51
2021,41234850,,51
2021,41484658,,51
2021,44691858,,51
2021,41186753,,51
2021,42162459,,51
2021,41460403,,51
2021,41620332,,51
2021,41446093,,51
2021,44655724,,51
2021,44655725,,51
2021,42560427,,51
2021,41771177,,51
2021,41771178,,51
2021,41810618,,51
2021,41771179,,51
2021,43948089,,51
2021,41771180,,51
2021,41190944,,51
2021,41801635,,51
2021,42176732,,51
2021,42176733,,51
2021,41519742,,51
2021,42482356,,51
2021,41463673,,51
2021,41957011,,51
2021,42473168,,51
2021,43878652,,51
2021,41957012,,51
2021,42495205,,51
2021,41215375,,51
2021,41957013,,51
2021,43187149,,51
2021,42020595,,51
2021,42097546,,51
2021,42197671,,51
2021,42098260,,51
2021,42097553,,51
2021,42097554,,51
2021,42153992,,51
2021,42153994,,3
2021,41603292,,51
2021,42153995,,51
2021,41378255,,51
2021,41190945,,51
2021,41383281,,51
2021,42194102,,51
2021,42170192,,51
