arrestee_id,weapon_id
41721536,51
41721538,51
41721539,52
41721540,51
41721541,51
41721542,51
41721543,51
41721544,51
41721545,51
41721546,51
41721547,51
41721548,51
41721549,51
41721550,51
41721552,51
41721554,51
41721558,51
41721559,51
41721560,51
41721561,51
41721562,51
41721563,51
41721564,51
41721565,51
41721567,51
41721568,52
41721569,51
41721570,51
41721571,51
41721573,51
41721574,51
41721575,51
41721576,51
41721579,51
41721580,51
41721586,3
41721587,51
41721588,51
41721589,51
41721593,51
41721595,51
41721602,51
41721607,51
41721612,51
41721613,51
41721614,51
41721615,51
41721616,51
41721617,51
41721618,51
41721619,51
41721620,51
41721621,51
41721622,51
41721623,51
41721624,51
41721625,51
41721626,51
41721627,51
41721628,51
41721629,51
41721630,51
41721634,51
41721635,51
41721636,51
41721637,51
41721638,3
41721649,3
41721651,51
41721652,51
41721653,3
41721656,51
41721657,3
41721659,51
41721660,3
41721661,51
41721662,51
41721663,51
41721664,51
41721665,51
41721666,51
41721667,51
41721668,51
41721669,51
41721670,53
41721671,51
41721672,51
41721673,51
41721674,51
41721675,51
41721676,51
41721677,51
41721678,3
41721680,51
41721681,51
41721682,51
41721683,51
41721685,51
41721686,51
41721687,51
41721688,51
41721689,3
41721692,3
41721693,51
41721694,51
41721695,51
41721696,51
41721697,51
41721699,3
41721700,52
41721701,51
41721702,51
41721703,51
41721704,51
41721705,51
41721706,51
41721707,51
41721708,51
41721709,51
41721710,51
41721711,51
41721712,51
41721713,51
41721714,51
41721715,3
41721716,51
41721717,51
41721719,51
41721722,51
41721723,51
41721724,51
41721725,51
41721726,51
41721727,51
41721728,51
41721729,51
41721730,51
41721731,51
41721732,51
41721733,51
41721735,51
41721736,51
41721737,51
41721739,3
41721741,51
41721743,51
41721744,51
41721747,51
41721749,51
41721750,51
41721751,51
41721752,51
41721754,51
41721756,51
41721757,51
41721758,51
41721760,51
41721761,51
41721762,51
41721765,51
41721767,51
41721772,51
41721773,51
41721774,51
41721776,3
41721779,51
41721780,3
41721782,51
41721783,51
41721784,51
41721785,51
41721786,51
41721787,51
41721788,51
41721789,51
41721790,3
41721791,51
41721792,51
41721793,51
41721794,51
41721795,3
41721796,51
41721797,51
41721798,51
41721800,51
41721801,51
41721803,51
41721804,51
41721805,51
41721806,51
41721808,51
41721809,1
41721810,51
41721811,51
41721812,51
41721813,51
41721814,51
41721815,51
41721816,51
41721817,51
41721818,51
41721819,51
41721820,51
41721821,51
41721822,51
41721823,51
41721825,51
41721827,51
41721828,51
41721829,51
41721830,51
41721831,51
41721832,51
41721833,51
41721834,3
41721835,51
41721836,51
41721837,51
41721838,51
41721839,51
41721840,51
41721841,51
41721842,51
41721843,51
41721844,51
41721845,51
41721846,51
41721850,51
41721851,51
41721854,51
41721855,51
41721859,51
41721861,51
41721864,51
41721865,51
41721867,51
41721868,51
41721869,3
41721870,1
41721871,51
41721872,51
41721875,51
41721876,51
41721877,51
41721880,51
41721884,51
41721885,51
41721890,51
41721891,51
41721892,51
41721893,51
41721894,51
41721897,51
41721898,51
41721899,51
41721900,51
41721902,51
41721903,51
41721905,51
41721906,51
41721907,51
41721908,51
41721909,51
41721910,3
41721911,51
41721912,51
41721913,51
41721914,51
41721915,51
41721916,51
41721917,51
41721918,51
41721919,51
41721920,51
41721923,3
41721925,51
41721926,51
